"artist","title","sales_price","sales_price_log","estimate_range","created","auction_location","surface","artist_seal","inscribed","signed","dated","titled","stamped","auction_year","auction_month","auction_weekday","canvas","oil","acrylic","board","paper","lacquer","masonite","panel","ink","wood"
"Le Pho","LES PAVOTS (POPPIES)",51240,10.8442757560107,11530,NA,"0",6026,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Henri Mege","MATIN DE JUILLIET À FOURNEY (SAVOIE) VALLÉE DU BOURGET (JULY MORNING AT FOURNEY (SAVOIE) BOURGET VALLEY)",2401,7.78364059622125,1281,"1959","0",792,"0","0","1","1","0","0",2019,4,"Monday",0,1,0,1,0,0,0,0,0,0
"Henri Mege","PAYSAGE (LANDSCAPE)",3522,8.16678428905615,1281,NA,"0",905.25,"0","0","1","0","0","0",2019,4,"Monday",0,1,0,0,0,0,0,1,0,1
"Joseph Inguimberty","PAYSAGE EUROPÉEN (EUROPEAN LANDSCAPE)",12010,9.39349491507403,3840,NA,"0",6500,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Joseph Inguimberty","WORKERS IN THE RICE FIELD",20820,9.94366934216896,2560,NA,"0",2479.75,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Truong Thi Thinh","MEMORY OF HUE, LANDSCAPE WITH A LOTUS POND",6410,8.76561454991472,2570,"c. 1960-70","0",5023.5,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Nam Nguyen","SUNSET ON TR?M MOUNTAIN (SÀI SON)",60850,11.0161670984157,6410,"1943","0",5200,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Nguyen TriMinh","MARKET SCENE UNDER THE GREAT BANYAN",4003,8.29479935899257,2567,NA,"0",1165.25,"0","0","1","0","0","0",2019,4,"Monday",0,1,0,1,0,0,0,0,0,0
"Tran Binh Loc","A GARDEN SCENE OF A TEMPLE",88070,11.3858872317995,7690,"1936","0",6500,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Tran Van Giau","MARKET SCENE OF SAIGON IN THE 1960'S",4803,8.47699600166482,1281,"c. 1960's","0",1457.25,"0","0","1","0","0","0",2019,4,"Monday",0,1,0,1,0,0,0,0,0,0
"Tran Van Giau","COUNTRY SCENE WITH A VILLAGE BRIDGE",1601,7.37838371299671,1281,"c. 1960's","0",1462,"0","0","1","0","0","0",2019,4,"Monday",0,1,0,1,0,0,0,0,0,0
"Louis Jules Dumoulin","SCENE OF A TRADITIONAL CHINESE TOWN",6410,8.76561454991472,1281,NA,"0",3016.25,"0","0","0","0","0","0",2019,4,"Monday",0,1,0,1,0,0,0,0,0,0
"Louis Jules Dumoulin","A JAPANESE LADY DESCENDING STAIRS",16010,9.68096880599076,1281,"c. 1890's","0",3250,"0","0","0","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Xuan Phai Bui","(I) TOWN SCENE (II) BUILDINGS WITH RICKSHAW (2)",9610,9.17055950196434,1290,NA,"0",NA,"0","0","1","0","0","0",2019,4,"Monday",0,1,0,1,0,0,0,0,0,0
"Xuan Phai Bui","(I) NUDE (II) AN ARTIST PAINTING A NUDE FIGURE (2)",12810,9.45798139489078,1277,NA,"0",NA,"0","0","0","0","0","0",2019,4,"Monday",0,0,0,0,1,0,0,0,0,0
"Liu Kang","LAKE IN CHINA",24020,10.086642095634,6400,"1975","0",3710,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Soo Pieng Cheong","PADI FIELDS",44840,10.7108558771861,12810,"1954","0",1505,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Ng Eng Teng","THE OLD AND NEW DRESS OF THE MALAYSIAN LADY",4803,8.47699600166482,2570,"1960","0",4393.5,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Yu Chian Chia","TIN MINE",25620,10.1511285754507,7690,"1958","0",5505.5,"0","0","1","1","0","0",2019,4,"Monday",0,1,0,1,0,0,0,0,0,0
"Wee Shoo Leong","URN WITH FRUITS",4803,8.47699600166482,2570,"1991","0",3938.75,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Choo Keng Kwang","PEACE",10410,9.25052216160901,2570,"1994","0",10800,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Tay Bak Koi","GOLDEN HARMONY",80060,11.2905316325466,8970,"1999","0",26549,"0","0","1","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Choh Tan","ROADSIDE STALL",10410,9.25052216160901,2567,"1991","0",3842.5,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Tay Bak Koi","SINGAPORE FISHING VILLAGE",9610,9.17055950196434,3840,"1965","0",4985.5,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Fernando Cueto Amorsolo","FISHERMAN BOAT AT SUNSET",25620,10.1511285754507,11530,"1956","0",1012.5,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,1,0,0,0,0,0,0
"Fernando Cueto Amorsolo","IN THE FIELD",25620,10.1511285754507,10250,"1955","0",660,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,1,0,0,0,0,0,0
"Fernando Cueto Amorsolo","WOMAN WITH BASKET AND FRUITS",304240,12.6255721426021,12810,"1936","0",1419,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,1,0,0,0,0,0,0
"Mauro Malang Santos","NUDE",56040,10.9338210004509,2560,"1977","0",7803,"0","0","1","1","0","0",2019,4,"Monday",0,0,1,0,0,0,0,1,0,1
