,sales_price,estimate_range,auction_location,surface,auction_year,auction_month,auction_weekday
431,72060,20500.0,0,14100.0,2019,10,Sunday
432,9610,3840.0,0,1230.0,2019,10,Sunday
433,6410,2570.0,0,1039.5,2019,10,Sunday
434,104080,25620.0,0,4374.0,2019,10,Sunday
435,96080,14100.0,0,6716.0,2019,10,Sunday
436,99280,20500.0,0,1228.5,2019,10,Sunday
437,96080,38430.0,0,14647.0,2019,10,Sunday
438,6410,2570.0,0,3825.25,2019,10,Sunday
439,38430,7690.0,0,4290.0,2019,10,Sunday
440,7690,2567.0,0,2990.0,2019,10,Sunday
441,17610,3840.0,0,958.5,2019,10,Sunday
442,25620,6410.0,0,3050.0,2019,10,Sunday
443,136110,25620.0,0,3094.0,2019,10,Sunday
444,64050,16660.0,0,9436.5,2019,10,Sunday
445,67250,12810.0,0,6716.0,2019,10,Sunday
446,51240,11530.0,0,7300.0,2019,10,Sunday
447,56040,10250.0,0,8140.5,2019,10,Sunday
448,7690,2567.0,0,5460.0,2019,10,Sunday
449,8010,2560.0,0,9396.0,2019,10,Sunday
450,9610,1277.0,0,4800.0,2019,10,Sunday
451,2401,2567.0,0,9312.25,2019,10,Sunday
452,10410,2570.0,0,4147.5,2019,10,Sunday
453,13610,2560.0,0,2806.0,2019,10,Sunday
454,12010,7690.0,0,2337.5,2019,10,Sunday
455,48040,14100.0,0,2000.0,2019,10,Sunday
456,35230,10250.0,0,5960.5,2019,10,Sunday
457,4803,2567.0,0,13158.0,2019,10,Sunday
458,3843,2558.0,0,4941.0,2019,10,Sunday
459,8010,2570.0,0,4915.2,2019,10,Sunday
460,144110,14100.0,0,40694.5,2019,10,Sunday
461,22420,6410.0,0,10179.0,2019,10,Sunday
462,51240,30750.0,0,2452.5,2019,10,Sunday
463,60850,12810.0,0,1938.0,2019,10,Sunday
464,72060,12810.0,0,1715.5,2019,10,Sunday
465,80060,6400.0,0,2000.0,2019,10,Sunday
466,48040,21780.0,0,3959.0,2019,10,Sunday
467,76860,10250.0,0,32558.75,2019,10,Sunday
468,35230,3840.0,0,10062.0,2019,10,Sunday
469,80060,7690.0,0,1610.0,2019,10,Sunday
470,16010,6410.0,0,1082.75,2019,10,Sunday
471,11210,2567.0,0,4898.0,2019,10,Sunday
472,20820,6410.0,0,2775.5,2019,10,Sunday
473,8010,2570.0,0,3445.0,2019,10,Sunday
474,80060,25620.0,0,2623.0,2019,10,Sunday
475,38430,10250.0,0,12014.25,2019,10,Sunday
476,80060,29460.0,0,7989.75,2019,10,Sunday
477,72060,25620.0,0,2626.0,2019,10,Sunday
478,72060,29460.0,0,4280.0,2019,10,Sunday
479,7210,2570.0,0,1271.0,2019,10,Sunday
480,48040,20500.0,0,4636.0,2019,10,Sunday
481,51240,12810.0,0,7500.0,2019,10,Sunday
482,72060,29460.0,0,5120.0,2019,10,Sunday
483,104080,42270.0,0,7455.0,2019,10,Sunday
484,44840,14100.0,0,10710.0,2019,10,Sunday
485,16010,12810.0,0,2184.0,2019,10,Sunday
486,6410,2570.0,0,1842.5,2019,10,Sunday
487,19220,2560.0,0,11533.5,2019,10,Sunday
488,38430,14100.0,0,9142.5,2019,10,Sunday
489,14410,8970.0,0,7840.0,2019,10,Sunday
490,9610,2560.0,0,2332.0,2019,10,Sunday
491,96080,25620.0,0,10705.5,2019,10,Sunday
492,72060,29460.0,0,8400.0,2019,10,Sunday
493,128100,89670.0,0,12707.0,2019,10,Sunday
494,56040,25620.0,0,17850.0,2019,10,Sunday
495,22420,10250.0,0,6127.5,2019,10,Sunday
496,96080,38430.0,0,17272.5,2019,10,Sunday
497,20820,14100.0,0,7000.0,2019,10,Sunday
498,76860,16660.0,0,13500.0,2019,10,Sunday
499,256200,128100.0,0,13216.5,2019,10,Sunday
500,224180,25620.0,0,3145.0,2019,10,Sunday
501,416330,25620.0,0,1681.0,2019,10,Monday
502,104080,24340.0,0,14000.0,2019,10,Monday
503,184140,12810.0,0,17456.25,2019,10,Monday
504,152120,12810.0,0,11141.66,2019,10,Monday
505,112090,25620.0,0,2488.7,2019,10,Monday
506,400310,25620.0,0,1645.0,2019,10,Monday
507,80060,25620.0,0,3414.39,2019,10,Monday
508,160130,25620.0,0,1220.0,2019,10,Monday
509,57650,5120.0,0,1935.48,2019,10,Monday
510,448350,128100.0,0,21728.0,2019,10,Monday
511,272210,128100.0,0,1824.0,2019,10,Monday
512,51240,25620.0,0,10795.75,2019,10,Monday
513,288230,128100.0,0,18000.0,2019,10,Monday
514,400310,128100.0,0,10100.21,2019,10,Monday
515,44840,12810.0,0,37500.0,2019,10,Monday
516,120090,38430.0,0,1230.0,2019,10,Monday
517,56040,3850.0,0,663.39,2019,10,Monday
518,11210,2560.0,0,908.95,2019,10,Monday
